Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-6 Astra,GPT-6 Astra,166.57,163.34,171.7,2026-09-03,OpenAI,United States of America,API access,Closed weights,
Claude Fable 5.1,Claude Fable 5.1,164.24,161.3,167.85,2026-09-01,Anthropic,United States of America,API access,Closed weights,
Claude Fable 5,Claude Fable 5,163.41,160.68,167.1,2026-06-09,Anthropic,United States of America,API access,Closed weights,
Claude Opus 5,Claude Opus 5,162.59,160.09,165.69,2026-07-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.5 Pro,GPT-5.5 Pro,162.26,159.3,165.37,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Sol,GPT-5.6 Sol,161.76,159.53,164.88,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Terra,GPT-5.6 Terra,159.15,156.64,161.84,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.5,GPT-5.5,159.14,156.91,161.87,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Pro,GPT-5.4 Pro,158.93,156.35,161.87,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.8,Claude Opus 4.8,158.32,156.33,160.46,2026-05-28,Anthropic,United States of America,API access,Closed weights,
Kimi K3,Kimi K3,157.64,155.01,160.58,2026-07-16,Moonshot,China,Open weights (non-commercial),Open weights,
Gemini 3.7 Flash,Gemini 3.7 Flash,157.44,155.52,160.08,2026-08-13,Google DeepMind,United States of America,API access,Closed weights,
GPT-5.4,GPT-5.4,156.86,155.05,158.79,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Qwen 3.8 Max,Qwen 3.8 Max,156.62,154.45,158.45,2026-08-02,Alibaba,China,API access,Closed weights,
GPT-5.3 Codex,GPT-5.3 Codex,156.59,154.13,159.41,2026-02-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.7,Claude Opus 4.7,156.34,154.45,158.34,2026-04-16,Anthropic,United States of America,API access,Closed weights,
Grok 4.6,Grok 4.6,156.34,154.57,158.47,2026-08-12,xAI,United States of America,API access,Closed weights,
GPT-5.6 Luna,GPT-5.6 Luna,156.31,153.75,158.49,2026-07-09,OpenAI,United States of America,API access,Closed weights,
Claude Sonnet 5,Claude Sonnet 5,156.23,153.39,158.5,2026-06-30,Anthropic,United States of America,API access,Closed weights,
Muse Spark 1.2,Muse Spark 1.2,155.49,153.76,158.7,2026-08-05,Meta AI,United States of America,API access,Closed weights,
DeepSeek V4 Pro 0813,DeepSeek V4 Pro 0813,155.44,153.65,157.54,2026-08-13,DeepSeek,China,Open weights (unrestricted),Open weights,
Claude Opus 4.6,Claude Opus 4.6,155.34,153.51,157.14,2026-02-05,Anthropic,United States of America,API access,Closed weights,
GPT-5.2 Pro,GPT-5.2 Pro,155.34,153.04,157.88,2025-12-11,OpenAI,United States of America,API access,Closed weights,
GLM-5.3,GLM-5.3,155.25,153.15,157.51,2026-08-14,Z.ai (Zhipu AI),China,API access,Closed weights,
Gemini 3.1 Pro,Gemini 3.1 Pro,155.0,152.77,157.56,2026-02-19,Google DeepMind,United States of America,API access,Closed weights,
Gemini 3.5 Flash,Gemini 3.5 Flash,154.69,152.76,156.78,2026-05-19,Google DeepMind,United States of America,API access,Closed weights,
Muse Spark 1.1,Muse Spark 1.1,154.64,152.26,157.96,2026-07-09,Meta AI,United States of America,API access,Closed weights,
DeepSeek V4 Flash 0731,DeepSeek V4 Flash 0731,154.49,152.05,156.45,2026-07-31,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 3.6 Flash,Gemini 3.6 Flash,154.32,152.6,156.05,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
Grok 4.5,Grok 4.5,153.92,152.32,155.71,2026-07-08,xAI,United States of America,API access,Closed weights,
Qwen3.7-Max,Qwen3.7-Max,153.72,151.87,155.95,2026-05-19,Alibaba,China,API access,Closed weights,
GPT-5.2,GPT-5.2,153.49,151.77,155.17,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3 Pro,Gemini 3 Pro,153.01,151.16,154.96,2025-11-18,Google DeepMind,United States of America,API access,Closed weights,
Claude Sonnet 4.6,Claude Sonnet 4.6,152.29,149.78,154.35,2026-02-17,Anthropic,United States of America,API access,Closed weights,
Muse Spark,Muse Spark,152.13,150.18,155.41,2026-04-08,Meta AI,United States of America,API access,Closed weights,
Grok 4.20,Grok 4.20,152.03,149.08,154.45,2026-02-17,xAI,United States of America,API access,Closed weights,
GLM-5.2,GLM-5.2,151.88,150.11,153.88,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Gemini 3 Flash,Gemini 3 Flash,151.84,150.5,153.45,2025-12-17,Google DeepMind,United States of America,API access,Closed weights,
GLM-5.3-Flash,GLM-5.3-Flash,151.45,148.96,153.42,2026-08-20,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Kimi K2.6,Kimi K2.6,151.01,149.07,152.65,2026-04-20,Moonshot,China,Open weights (unrestricted),Open weights,
