Model version,Agent,Accuracy mean,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Accuracy SE,Agent Org,Model Org,Run date,Notes,Source,Source Link,Created,Name,id
gpt-5.5_unknown,NexAU-AHE,0.8470000000000001,2026-04-23,OpenAI,United States of America,,,0.021,china-qijizhifeng,OpenAI,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:48.000Z,GPT-5.5,recdZ2Aq4dSe9MUj6
gpt-5.5_unknown,Capy,0.831,2026-04-23,OpenAI,United States of America,,,0.021,Capy,OpenAI,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:48.000Z,GPT-5.5,recGwko1gzRhNX0ub
gpt-5.5_unknown,Codex CLI,0.8220000000000001,2026-04-23,OpenAI,United States of America,,,0.022000000000000002,OpenAI,OpenAI,2026-04-23,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-04T14:49:47.000Z,GPT-5.5,recp64pC4XBYynZdL
gpt-5.5_unknown,Codex,0.8200000000000001,2026-04-23,OpenAI,United States of America,,,0.022000000000000002,OpenAI,OpenAI,2026-04-23,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:38.000Z,GPT-5.5,recJA7K9RNsgzOaAU
gpt-5.4-2026-03-05_unknown,ForgeCode,0.818,2026-03-05,OpenAI,United States of America,,,0.02,ForgeCode,OpenAI,2026-03-12,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:39.000Z,GPT-5.4,rec4q8Z4CrKFnEAuK
gemini-3.1-pro-preview,TongAgents,0.802,2026-02-19,Google DeepMind,United States of America,,,0.026000000000000002,BIGAI,Google,2026-03-13,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:39.000Z,Gemini 3.1 Pro,recWIDb8VVaXoNXGP
claude-opus-4-7_unknown,WOZCODE,0.802,2026-04-16,Anthropic,United States of America,,,0.021,WOZCODE,Anthropic,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:48.000Z,Claude Opus 4.7,rec1OgwoZk8uGh0cf
claude-opus-4-6_unknown,ForgeCode,0.798,2026-02-05,Anthropic,United States of America,,,0.016,ForgeCode,Anthropic,2026-03-12,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:40.000Z,Claude Opus 4.6,reciHkuyWIdoQzFVZ
gemini-3.1-pro-preview,Forge Code,0.784,2026-02-19,Google DeepMind,United States of America,,,0.018,Forge Code,Google,2026-03-02,,Terminal-Bench v2 Leaderboard,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-03-06T01:48:54.000Z,,recIsprMd6SFvZAf1
gemini-3.1-pro-preview,ForgeCode,0.784,2026-02-19,Google DeepMind,United States of America,,,0.018000000000000002,ForgeCode,Google,2026-03-02,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:40.000Z,Gemini 3.1 Pro,rec64ox7LJjoKhMmd
gpt-5.3-codex,SageAgent,0.784,2026-02-05,OpenAI,United States of America,,,0.022000000000000002,OpenSage,OpenAI,2026-03-13,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:40.000Z,GPT-5.3-Codex,recaq5BH3KfrPDhfy
gpt-5.3-codex,Droid,0.773,2026-02-05,OpenAI,United States of America,,,0.022000000000000002,Factory,OpenAI,2026-02-24,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,https://www.tbench.ai/leaderboard/terminal-bench/2.0,2026-03-06T01:50:07.000Z,GPT-5.3-Codex,recMJkgMHRSOjLKpR
claude-opus-4-6_unknown,Meta-Harness,0.7640000000000001,2026-02-05,Anthropic,United States of America,,,0.024,Stanford IRIS,Anthropic,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:49.000Z,Claude Opus 4.6,rec0JCWY63Blk9hvu
gpt-5.3-codex,CodeBrain-1.5,0.758,2026-02-05,OpenAI,United States of America,,,0.02,Feeling AI,OpenAI,2026-02-10,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:49.000Z,GPT-5.3-Codex,recu2IkOMIWvkSCuc
gpt-5.3-codex,Codelia,0.757,2026-02-05,OpenAI,United States of America,,,0.022000000000000002,kousw,OpenAI,2026-05-14,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-05-28T16:41:49.000Z,GPT-5.3-Codex,recDp7GQrLzo9PXAN
claude-opus-4-6_unknown,Capy,0.753,2026-02-05,Anthropic,United States of America,,,0.024,Capy,Anthropic,2026-03-12,,https://www.tbench.ai/leaderboard/terminal-bench/2.0,,2026-04-23T21:29:40.000Z,Claude Opus 4.6,recL5sLwUUzYQRQHC
